				LA19	LA21	DF21	ADD23.1	ADD23.2	HABLA	Partial	HAD	SceneFake	CtrSVDD	AVG		
spanish	wavlm	FFN	[0.8394115301745894, 0.958556326858614, 1.0, 0.9270954945088684, 0.712862359456579, 0.4773248657507718, 0.3257515323285074, 0.0, 0.06348551852639536, 0.0940398348682204, 0.12522220208789397, 0.23125340083968007]
spanish	wavlm	AASIST	[1.0, 0.8612958714785433, 0.8195725641421705, 0.6743248570973777, 0.5340734188787499, 0.20573923518243156, 0.061104355173179574, 0.028400918989137387, 0.019787163599205758, 0.0, 0.013162660480151703, 0.00040250165424045086]
Part_ASV19	w2v	FFN	[0.16584442412908618, 0.7017127397624351, 0.8697096589884638, 0.8891804454812018, 0.8892481423313037, 1.0, 0.8675963070422783, 0.7874052279554336, 0.6669834047223091, 0.41938586287435703, 0.25105509228281436, 0.0]
Part_ASV19	w2v	AASIST	[0.6105232856943067, 0.8908506585007933, 1.0, 0.7036111509127836, 0.7415454812994584, 0.6760357419970753, 0.47497299444616503, 0.5183997411127633, 0.36987269852192306, 0.34869318001443145, 0.12510499776490963, 0.0]
Part_ASV19	hub	FFN	[0.3646449764799982, 0.2239783309895148, 0.1274421962396874, 0.5541285760075771, 0.7799509675109222, 1.0, 0.9904764929930889, 0.8055317195156811, 0.915729957464749, 0.6441422923988086, 0.0, 0.3602492629244502]
Part_ASV19	hub	AASIST	[0.9977321027921539, 0.7327304109145232, 0.6837831370577128, 0.8062855618082166, 1.0, 0.7503314887824198, 0.8742410705658945, 0.41257803091757345, 0.409651473208101, 0.35675552553255135, 0.05258100763544659, 0.0]
Part_ASV19	wavlm	FFN	[0.6550169349600065, 0.7698752816307165, 0.9424441921846786, 1.0, 0.6834824447057087, 0.4182578798523492, 0.287696333661069, 0.0, 0.15220704685074002, 0.21176664880974908, 0.21763445394076858, 0.06412027725440361]
Part_ASV19	wavlm	AASIST	[1.0, 0.973746450415233, 0.9539876385640224, 0.9280572520199564, 0.6872696095587912, 0.39664815773833784, 0.22595421906886734, 0.0, 0.07743292230971664, 0.107802603740807, 0.1183259375063237, 0.01302110227675556]
had	w2v	FFN	[1.0, 0.9637348896671466, 0.9461093621636995, 0.7784001162598857, 0.4143720780800451, 0.24721582111814877, 0.0855765096610229, 0.0, 0.02633861619241468, 0.1524240750301267, 0.389691874963033, 0.5370453272693979]
had	w2v	AASIST	[1.0, 0.9911438973700347, 0.845952416797884, 0.47199442803623104, 0.2695684594038171, 0.16837814922134656, 0.07482451295623763, 0.0, 0.058045782365608894, 0.1649583506812655, 0.21742218816591238, 0.2950301155180521]
